10 threads
3.27257;0.1;10;20
3.27409;0.09;10;20
3.28668;0.05;0;30
3.29399;0.05;10;30
3.36584;0.05;10;20
3.3726;0.04;30;50
3.37703;0.05;0;40
3.44938;0.05;10;10
3.49692;0.02;40;50
3.51474;0.06;20;20
3.53113;0.09;0;20
3.61812;0.05;20;20
3.65206;0.05;0;10
3.65383;0.05;0;50
3.66644;0.04;40;50
3.68644;0.03;40;50
3.74402;0.04;20;50
3.79362;0.04;20;40
3.8115;0.1;20;70
3.81202;0.1;30;70
3.81855;0.09;30;70
3.81855;0.08;30;70
3.81855;0.07;30;70
3.81961;0.06;20;70
3.81961;0.09;20;70
3.81961;0.08;20;70
3.81961;0.07;20;70
3.82003;0.1;30;80
3.82402;0.08;30;80
3.82402;0.07;30;80
3.82402;0.09;30;80
3.82611;0.09;20;60
3.82611;0.08;20;60
3.82611;0.1;20;60
3.82708;0.09;30;60
3.82708;0.1;30;60
3.82751;0.08;10;70
3.82751;0.07;10;70
3.82751;0.09;10;70
3.82751;0.1;10;70
3.82805;0.1;20;80
3.83205;0.08;20;80
3.83205;0.07;20;80
3.83205;0.09;20;80
3.83248;0.1;30;90
3.83337;0.1;20;90
3.83361;0.08;30;60
3.83361;0.07;30;60
3.83421;0.06;20;60
3.83421;0.07;20;60
3.83647;0.09;30;90
3.83647;0.08;30;90
3.83736;0.09;20;90
3.83736;0.08;20;90
3.83783;0.08;0;70
3.83783;0.1;0;70
3.83783;0.09;0;70
3.84218;0.1;10;60
3.84218;0.09;10;60
3.84406;0.07;10;80
3.84406;0.08;10;80
3.84406;0.09;10;80
3.84406;0.1;10;80
3.84685;0.1;40;70
3.85439;0.07;0;80
3.85439;0.1;0;80
3.85439;0.09;0;80
3.85439;0.08;0;80
3.85474;0.09;40;70
3.85474;0.08;40;70
3.85651;0.08;10;90
3.85651;0.07;10;90
3.85651;0.1;10;90
3.85651;0.09;10;90
3.86453;0.07;0;30
3.86684;0.1;0;90
3.86684;0.08;0;90
3.86684;0.09;0;90
3.86684;0.07;0;90
